city,state_code,state_name,dist_code,population_total,population_male,population_female,literates_total,literates_male,literates_female,sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,total_graduates,male_graduates,female_graduates
Sambhal ,9,UTTAR PRADESH,4,221334,116008,105326,92608,51382,41226,908,49.51,52.27,46.45,10580,5780,4800
Sangli Miraj Kupwad ,27,MAHARASHTRA,35,502697,255270,247427,397395,212703,184692,969,88.08,93.39,82.67,60752,34112,26640
Santipur ,19,WEST BENGAL,10,151774,77044,74730,113028,60420,52608,970,81.43,85.73,77,7213,4725,2488
Sasaram ,10,BIHAR,32,147396,77687,69709,105378,58900,46478,897,82.31,87.26,76.78,18844,13181,5663
Satara ,27,MAHARASHTRA,31,120079,61075,59004,101320,53241,48079,966,92.91,96.38,89.34,22292,12269,10023
Satna ,23,MADHYA PRADESH,12,280248,147924,132324,214468,120464,94004,895,86.33,92,80.01,37695,23396,14299
Sawai Madhopur ,8,RAJASTHAN,10,120998,63223,57775,85472,50438,35034,914,80.85,91.62,69.16,13480,8980,4500
Secunderabad ,28,ANDHRA PRADESH,5,213698,111664,102034,170148,92956,77192,914,87.75,91.54,83.59,42492,23836,18656
Sehore ,23,MADHYA PRADESH,28,108818,56284,52534,82066,44937,37129,933,85.52,90.71,79.99,13887,8074,5813
Seoni ,23,MADHYA PRADESH,39,102377,52354,50023,83832,44862,38970,955,91.16,95.68,86.45,16335,9574,6761
Serampore ,19,WEST BENGAL,12,183339,94514,88825,153460,81592,71868,940,89.99,92.75,87.05,30060,17706,12354
Shahjahanpur ,9,UTTAR PRADESH,21,327975,173133,154842,200804,112011,88793,894,68.92,72.87,64.5,33510,18302,15208
Shamli ,9,UTTAR PRADESH,2,107233,57236,49997,76650,43469,33181,874,81.97,87.64,75.57,13343,7245,6098
Shikohabad ,9,UTTAR PRADESH,16,107300,57017,50283,77060,43030,34030,882,81.68,86.21,76.59,15351,9119,6232
Shillong ,17,MEGHALAYA,6,143007,70028,72979,119313,59420,59893,1042,92.34,94.46,90.33,25113,12466,12647
Shimla ,2,HIMACHAL PRADESH,11,169758,93364,76394,147799,82486,65313,818,94.67,95.75,93.35,43353,23822,19531
Shimoga ,29,KARNATAKA,14,322428,161978,160450,255971,133191,122780,991,88.02,91.32,84.7,37463,21835,15628
Shivpuri ,23,MADHYA PRADESH,6,179972,95227,84745,124641,72107,52534,890,79.24,86.72,70.86,22320,13796,8524
Sikar ,8,RAJASTHAN,13,237579,123156,114423,158413,91403,67010,929,77.13,86.29,67.37,20786,13799,6987
Silchar ,18,ASSAM,17,172709,86812,85897,144255,74082,70173,989,91.74,93.97,89.5,22274,12716,9558
Siliguri ,19,WEST BENGAL,99,509709,261218,248491,394366,209792,184574,951,85.46,88.82,81.94,65003,38470,26533
Singrauli ,23,MADHYA PRADESH,46,220295,117276,103019,147527,87870,59657,878,77.35,86.28,67.11,18047,11646,6401
Sirsa ,6,HARYANA,11,183282,96806,86476,135435,75796,59639,893,83.03,88.5,76.98,24453,13473,10980
Sitapur ,9,UTTAR PRADESH,23,177351,93410,83941,131995,72197,59798,899,83.11,86.42,79.43,28003,15740,12263
Siwan ,10,BIHAR,16,134458,70670,63788,98898,56152,42746,903,84.65,91.71,76.89,14545,9727,4818
Solapur ,27,MAHARASHTRA,30,951118,482194,468924,710180,390335,319845,972,83.88,91.31,76.3,88638,54159,34479
Sonipat ,6,HARYANA,8,277053,147933,129120,215609,121821,93788,873,87.56,93.21,81.17,46858,25676,21182
South Dum Dum ,19,WEST BENGAL,11,410524,206558,203966,356092,183454,172638,987,92.82,95.14,90.48,102942,57940,45002
Srikakulam ,28,ANDHRA PRADESH,11,126003,62583,63420,97904,52029,45875,1013,85.13,91.44,78.95,21745,14125,7620
Srinagar ,1,JAMMU & KASHMIR,10,1192792,631916,560876,741441,428915,312526,888,70.98,77.61,63.52,135783,75825,59958
Sujangarh ,8,RAJASTHAN,4,101528,52078,49450,64716,37914,26802,950,74.55,85.58,63.06,5284,3664,1620
Sultan Pur Majra ,7,NCT OF DELHI,1,181624,95816,85808,125557,72458,53099,896,79.78,87.33,71.37,7390,4719,2671
Sultanpur ,9,UTTAR PRADESH,48,107914,56674,51240,85656,46736,38920,904,88.63,92.18,84.7,20475,12130,8345
Surat ,24,GUJARAT,25,4462002,2538243,1923759,3499228,2082588,1416640,758,89.03,92.76,84.05,278795,160566,118229
Surendranagar Dudhrej ,24,GUJARAT,8,177827,92728,85099,135879,75906,59973,918,85.34,91.73,78.41,17558,10540,7018
Suryapet ,28,ANDHRA PRADESH,8,105250,52138,53112,81366,43143,38223,1019,84.88,91.18,78.74,14203,9485,4718
Tadepalligudem ,28,ANDHRA PRADESH,15,103577,51176,52401,78557,40283,38274,1024,83.1,86.6,79.71,11527,7258,4269
Tadpatri ,28,ANDHRA PRADESH,22,108249,54027,54222,69948,39781,30167,1004,72.17,82.51,61.93,8618,5762,2856
Tambaram ,33,TAMIL NADU,3,176807,90803,86004,150667,79383,71284,947,93.72,95.81,91.5,35148,19571,15577
Tenali ,28,ANDHRA PRADESH,17,164649,81324,83325,125275,64968,60307,1025,82.63,86.98,78.41,22433,13780,8653
Thane ,27,MAHARASHTRA,21,1818872,966293,852579,1491552,817828,673724,882,91.36,94.19,88.14,241148,129214,111934
Thanesar ,6,HARYANA,4,154962,83655,71307,119482,67646,51836,852,85.73,89.89,80.85,32979,18192,14787
Thanjavur ,33,TAMIL NADU,19,222619,109291,113328,186643,94696,91947,1037,91.48,94.97,88.14,33652,18483,15169
Thiruvananthapuram ,32,KERALA,14,752490,364657,387833,647479,316614,330865,1064,93.72,94.94,92.58,151257,72759,78498
Thoothukkudi ,33,TAMIL NADU,26,237374,118039,119335,202105,102369,99736,1011,94.47,96.42,92.56,31795,16516,15279
Thrissur ,32,KERALA,7,315596,151999,163597,282338,136694,145644,1076,97.24,98.31,96.26,53535,24392,29143
Tiruchirappalli ,33,TAMIL NADU,13,846915,418128,428787,705492,359975,345517,1025,91.32,94.66,88.08,123329,67987,55342
Tirunelveli ,33,TAMIL NADU,27,474838,234643,240195,391972,201509,190463,1024,90.98,94.99,87.08,59397,33536,25861
Tirupati ,28,ANDHRA PRADESH,23,287035,145977,141058,229730,123449,106281,966,87.55,92.74,82.21,55454,34588,20866
Tiruppur ,33,TAMIL NADU,32,444543,227469,217074,350206,189496,160710,954,87.67,92.69,82.41,33358,18431,14927
Tiruvannamalai ,33,TAMIL NADU,5,144683,72351,72332,106256,55585,50671,1000,81.64,85.6,77.7,16502,9655,6847
Tiruvottiyur ,33,TAMIL NADU,1,248059,124852,123207,197646,103197,94449,987,88.21,91.59,84.8,25781,13493,12288
Titagarh ,19,WEST BENGAL,11,118426,63936,54490,87356,50566,36790,852,81.18,86.87,74.47,5643,3898,1745
Tonk ,8,RAJASTHAN,22,165363,84927,80436,98819,57170,41649,947,69.47,78.7,59.85,11776,7537,4239
Tumkur ,29,KARNATAKA,17,305821,155406,150415,237424,123904,113520,968,85.97,88.39,83.47,42163,25617,16546
Udaipur ,8,RAJASTHAN,32,451735,234681,217054,366598,200051,166547,925,90.66,95.56,85.39,92090,51475,40615
Udgir ,27,MAHARASHTRA,28,104063,54445,49618,78051,43518,34533,911,85.78,91.59,79.43,9924,6900,3024
Udupi ,29,KARNATAKA,15,125350,62031,63319,108041,54690,53351,1021,93.89,96.51,91.35,22444,11795,10649
Ujjain ,23,MADHYA PRADESH,18,515215,265291,249924,391470,214481,176989,942,85.55,91.16,79.62,72743,41616,31127
Ulhasnagar ,27,MAHARASHTRA,21,506937,270373,236564,408959,227975,180984,875,89.21,93.1,84.75,43561,23087,20474
Uluberia ,19,WEST BENGAL,15,222175,114144,108031,159826,86210,73616,946,81.13,85.23,76.82,11384,7234,4150
Unnao ,9,UTTAR PRADESH,25,178681,94080,84601,134018,73411,60607,899,83.72,87.26,79.8,27220,15670,11550
