city,state_code,state_name,dist_code,population_total,population_male,population_female,literates_total,literates_male,literates_female,sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,total_graduates,male_graduates,female_graduates
Abohar ,3,PUNJAB,9,145238,76840,68398,103319,58347,44972,890,79.86,85.49,73.59,16287,8612,7675
Achalpur ,27,MAHARASHTRA,7,112293,58256,54037,92433,49347,43086,928,91.99,94.77,89,8863,5269,3594
Adilabad ,28,ANDHRA PRADESH,1,117388,59232,58156,83955,46295,37660,982,80.51,88.18,72.73,10565,6797,3768
Adityapur ,20,JHARKHAND,24,173988,91495,82493,125985,71470,54515,902,83.46,89.98,76.23,19225,12189,7036
Adoni ,28,ANDHRA PRADESH,21,166537,82743,83794,101292,56203,45089,1013,68.38,76.58,60.33,11902,7871,4031
Agartala ,16,TRIPURA,1,399688,199616,200072,343633,174524,169109,1002,93.88,95.75,92.02,52711,30215,22496
Agra ,9,UTTAR PRADESH,15,1574542,849771,724771,880530,503805,376725,853,63.44,67.67,58.54,185813,106082,79731
Ahmadabad ,24,GUJARAT,7,5570585,2935869,2634716,4464303,2459823,2004480,897,89.62,93.96,84.81,769858,435267,334591
Ahmadnagar ,27,MAHARASHTRA,26,350905,179755,171150,287468,152819,134649,952,91.49,95.51,87.33,51661,29832,21829
Aizawl ,15,MIZORAM,3,291822,143803,148019,253588,125256,128332,1029,98.8,99.3,98.31,26832,14900,11932
Ajmer ,8,RAJASTHAN,21,542580,278786,263794,422913,230586,192327,946,87.53,93.26,81.53,77989,42454,35535
Akbarpur ,9,UTTAR PRADESH,47,111594,57560,54034,75062,42208,32854,939,76.94,83.89,69.54,9745,5811,3934
Akola ,27,MAHARASHTRA,5,427146,218184,208962,347687,183594,164093,958,91.34,94.78,87.77,49715,28812,20903
Alandur ,33,TAMIL NADU,3,164162,82190,81972,142415,72755,69660,997,95.15,97.2,93.1,45971,25463,20508
Alappuzha ,32,KERALA,11,174164,83888,90276,153269,74454,78815,1076,96.56,98.03,95.21,22263,9900,12363
Aligarh ,9,UTTAR PRADESH,12,872575,463123,409452,533969,303886,230083,884,70.36,75.5,64.55,99341,55965,43376
Allahabad ,9,UTTAR PRADESH,44,1117094,601363,515731,877590,493181,384409,858,86.5,90.21,82.17,233129,138248,94881
Alwar ,8,RAJASTHAN,6,315310,166900,148410,243634,138737,104897,889,86.78,93.72,79.05,58764,35297,23467
Ambala ,6,HARYANA,2,196216,103533,92683,155780,85004,70776,895,88.23,91.58,84.51,34943,17809,17134
Ambala Sadar ,6,HARYANA,2,104268,54241,50027,83236,43444,39792,922,87.97,88.66,87.22,20618,10689,9929
Ambarnath ,27,MAHARASHTRA,21,254003,133006,120997,201707,111273,90434,910,89.04,93.82,83.78,26596,14444,12152
Ambattur ,33,TAMIL NADU,1,478134,241181,236953,401253,208748,192505,982,92.69,95.71,89.62,97186,52224,44962
Ambikapur ,22,CHHATTISGARH,2,114575,59673,54902,89590,48950,40640,920,88.2,92.73,83.29,20857,12369,8488
Ambur ,33,TAMIL NADU,4,113856,56052,57804,88309,45439,42870,1031,86.83,91.18,82.65,7813,5076,2737
Amravati ,27,MAHARASHTRA,7,646801,330544,316257,543568,284490,259078,957,93.03,95.52,90.44,91996,51456,40540
Amreli ,24,GUJARAT,13,105980,55166,50814,85975,46721,39254,921,89.47,93.85,84.75,11305,6579,4726
Amritsar ,3,PUNJAB,15,1132761,602754,530007,872527,478062,394465,879,85.27,88.09,82.09,140359,69241,71118
Amroha ,9,UTTAR PRADESH,6,197135,102804,94331,108772,60621,48151,918,63.88,68.11,59.24,13879,7635,6244
Anand ,24,GUJARAT,15,197351,102359,94992,166211,88444,77767,928,93.71,96.42,90.82,29803,17331,12472
Anantapur ,28,ANDHRA PRADESH,22,262340,131506,130834,195452,105452,90000,995,81.88,88.54,75.24,43700,27392,16308
Anantnag ,1,JAMMU & KASHMIR,14,108505,56030,52475,71408,39591,31817,937,78.95,85.33,72.23,12666,7291,5375
Arrah ,10,BIHAR,29,261099,139319,121780,189080,107822,81258,874,83.41,89.14,76.86,35354,25045,10309
Asansol ,19,WEST BENGAL,9,564491,293748,270743,431300,236683,194617,922,84.82,89.52,79.73,65625,40231,25394
Ashoknagar Kalyangarh ,19,WEST BENGAL,11,123906,62554,61352,106337,55398,50939,981,92.45,95.53,89.32,11992,7093,4899
Aurangabad ,10,BIHAR,33,101520,53307,48213,75796,42338,33458,904,86.89,92.52,80.68,13141,9371,3770
Aurangabad ,27,MAHARASHTRA,19,1171330,610377,560953,908725,497404,411321,919,89.13,94.08,83.81,159308,96576,62732
Avadi ,33,TAMIL NADU,1,344701,175055,169646,275881,145729,130152,969,88.63,92.2,84.94,51647,27742,23905
Azamgarh ,9,UTTAR PRADESH,60,110980,58033,52947,85008,46587,38421,912,86.43,90.91,81.56,19911,11691,8220
Badlapur ,27,MAHARASHTRA,21,175516,91695,83821,146259,78910,67349,914,92.38,95.53,88.94,25115,13878,11237
Bagaha ,10,BIHAR,1,113012,59946,53066,56998,34751,22247,885,60.67,69.3,50.79,3744,2756,988
Bagalkot ,29,KARNATAKA,2,112068,56837,55231,85860,46623,39237,972,86.15,92.58,79.58,14090,9038,5052
Bahadurgarh ,6,HARYANA,15,170426,91736,78690,132108,75714,56394,858,88.04,94.27,80.87,22521,13025,9496
Baharampur ,19,WEST BENGAL,7,195363,100431,94932,164445,86535,77910,945,90.29,92.36,88.09,32154,19679,12475
Bahraich ,9,UTTAR PRADESH,49,186241,98529,87712,122602,66544,56058,890,75.03,76.94,72.87,20490,11537,8953
Baidyabati ,19,WEST BENGAL,12,121081,62550,58531,100590,53217,47373,936,89.08,91.15,86.86,17224,10311,6913
Baleshwar Town ,21,ORISSA,8,118202,60308,57894,95084,50372,44712,960,88.79,92.22,85.22,23170,14071,9099
Ballia ,9,UTTAR PRADESH,62,104271,55706,48565,80964,45467,35497,872,86.62,91.07,81.51,16114,10252,5862
Bally ,19,WEST BENGAL,15,291972,156734,135238,216902,119508,97394,863,83.39,84.07,82.56,36100,22170,13930
Bally City,19,WEST BENGAL,15,115715,59951,55764,95665,51534,44131,930,90.14,93.58,86.43,12354,7562,4792
Balurghat ,19,WEST BENGAL,5,151183,75677,75506,130230,66954,63276,998,91.85,94.41,89.28,23732,14538,9194
Banda ,9,UTTAR PRADESH,39,154388,82215,72173,113857,64871,48986,878,83.3,89.03,76.75,24015,15215,8800
Bankura ,19,WEST BENGAL,13,138036,70734,67302,111073,60272,50801,951,87.27,92.4,81.88,19082,12321,6761
Bansberia ,19,WEST BENGAL,12,103799,53807,49992,81514,44671,36843,929,85.73,90.63,80.46,8566,5264,3302
Banswara ,8,RAJASTHAN,27,100128,51240,48888,76438,41404,35034,954,86.98,92.76,81.01,13852,7837,6015
Baran ,8,RAJASTHAN,30,118157,61360,56797,83879,48209,35670,926,81.19,90.08,71.64,11553,7362,4191
Baranagar ,19,WEST BENGAL,11,248466,128432,120034,215849,114347,101502,935,92.46,94.72,90.04,49711,28274,21437
Barasat ,19,WEST BENGAL,11,283443,143732,139711,236881,123692,113189,972,90.42,93.14,87.62,45516,27143,18373
Baraut ,9,UTTAR PRADESH,8,102733,54521,48212,69559,39900,29659,884,77.98,84.65,70.51,12672,7191,5481
Barddhaman ,19,WEST BENGAL,9,314638,160631,154007,260564,138067,122497,959,89.07,92.52,85.48,52387,32325,20062
Bareilly ,9,UTTAR PRADESH,19,898167,477438,420729,563619,316385,247234,881,70.17,74.06,65.75,110691,61065,49626
Baripada Town ,21,ORISSA,7,110058,57008,53050,89421,48388,41033,931,89.31,93.45,84.88,17589,10953,6636
Barnala ,3,PUNJAB,20,116454,62302,54152,82347,46100,36247,869,79.59,83.51,75.1,12665,6213,6452
Barrackpur ,19,WEST BENGAL,11,154475,79507,74968,128459,68159,60300,943,89.33,92.16,86.33,29910,17514,12396
Barshi ,27,MAHARASHTRA,30,118573,60857,57716,91260,49965,41295,948,86.47,92.88,79.8,13351,8564,4787
Basirhat ,19,WEST BENGAL,11,127135,64397,62738,102737,53913,48824,974,88.25,91.54,84.88,20037,12083,7954
Basti ,9,UTTAR PRADESH,54,114651,60126,54525,87065,48473,38592,907,85.29,90.46,79.57,20183,12071,8112
Batala ,3,PUNJAB,1,156400,82459,73941,121138,66101,55037,897,85.49,88.81,81.81,16436,8120,8316
Bathinda ,3,PUNJAB,12,285813,151782,134031,211318,118888,92430,883,82.84,87.86,77.16,43428,22471,20957
Beawar ,8,RAJASTHAN,21,145809,74946,70863,110111,61229,48882,946,85.96,93.44,78.12,13767,8257,5510
Begusarai ,10,BIHAR,20,251136,133931,117205,169161,96459,72702,875,79.35,84.67,73.25,24616,16492,8124
Belgaum ,29,KARNATAKA,1,488292,246407,241885,396736,208546,188190,982,90.49,94.51,86.41,64200,37682,26518
Bellary ,29,KARNATAKA,11,409644,206026,203618,281768,153275,128493,988,78.26,84.83,71.64,36855,23011,13844
Bengaluru,29,KARNATAKA,18,8425970,4401299,4024671,6775942,3664959,3110983,914,89.59,92.63,86.25,1591163,908363,682800
Bettiah ,10,BIHAR,1,132896,70381,62515,94663,52547,42116,888,82.54,86.57,78,13438,9372,4066
Betul ,23,MADHYA PRADESH,30,103341,52902,50439,83356,44429,38927,953,90.27,94.27,86.11,17125,9918,7207
Bhadrak ,21,ORISSA,9,107369,55094,52275,76928,41628,35300,949,80.88,85.29,76.23,13311,8191,5120
Bhadravati ,29,KARNATAKA,14,150776,75020,75756,118446,62199,56247,1010,86.6,91.56,81.7,12406,7066,5340
Bhadreswar ,19,WEST BENGAL,12,101334,53318,48016,80249,44493,35756,901,86.89,91.47,81.8,9225,5743,3482
Bhagalpur ,10,BIHAR,22,398138,212005,186133,279469,157049,122420,878,81.16,85.38,76.31,49656,33692,15964
Bhalswa Jahangir Pur ,7,NCT OF DELHI,1,197150,106271,90879,130417,76114,54303,855,76.94,83.1,69.71,8348,5164,3184
Bharatpur ,8,RAJASTHAN,7,252109,134088,118021,181159,105642,75517,880,82.13,90.41,72.8,33411,20734,12677
Bharuch ,24,GUJARAT,21,168729,86887,81842,133796,71671,62125,942,87.66,91.32,83.79,14059,8210,5849
Bhatpara ,19,WEST BENGAL,11,390467,207876,182591,307362,172042,135320,878,85.86,90.08,81.04,29055,18147,10908
Bhavnagar ,24,GUJARAT,14,593768,309447,284321,455242,251860,203382,919,85.62,91.36,79.44,51875,30315,21560
Bhilai Nagar ,22,CHHATTISGARH,10,625697,322254,303443,487242,267487,219755,942,87.23,93.12,80.99,81620,43751,37869
Bhilwara ,8,RAJASTHAN,24,360009,187952,172057,264762,150306,114456,915,84.27,91.8,76.08,41788,24856,16932
Bhimavaram ,28,ANDHRA PRADESH,15,142280,70066,72214,108535,55523,53012,1031,83.41,86.87,80.07,18298,11541,6757
Bhind ,23,MADHYA PRADESH,3,197332,105394,91938,145530,83903,61627,872,84.2,91.12,76.3,20470,13748,6722
Bhiwadi ,8,RAJASTHAN,6,104883,59757,45126,70987,44697,26290,755,80.67,88.2,70.44,10135,6331,3804
Bhiwandi ,27,MAHARASHTRA,21,711329,418478,292851,507722,314906,192816,700,81.53,84.5,77.11,24688,14404,10284
Bhiwani ,6,HARYANA,13,197662,105372,92290,147807,84028,63779,876,84.39,90.42,77.56,28123,17068,11055
Bhopal ,23,MADHYA PRADESH,27,1795648,939560,856088,1354219,741737,612482,911,85.24,89.19,80.9,282813,155418,127395
Bhubaneswar Town ,21,ORISSA,17,837737,445233,392504,710243,388164,322079,882,93.15,95.69,90.26,200788,121563,79225
Bhuj ,24,GUJARAT,1,147123,77900,69223,114822,64172,50650,889,87.5,92.29,82.1,16457,9536,6921
Bhusawal ,27,MAHARASHTRA,3,187750,96655,91095,152103,81544,70559,942,90.37,94.64,85.89,19815,11257,8558
Bid ,27,MAHARASHTRA,27,146237,75655,70582,112171,61135,51036,933,88.56,94.01,82.81,19030,12252,6778
Bidar ,29,KARNATAKA,4,211944,109435,102509,163781,89472,74309,937,87.65,92.88,82.08,25910,16824,9086
Bidhan Nagar ,19,WEST BENGAL,11,218323,111363,106960,185885,97604,88281,960,90.44,93.08,87.69,65863,35756,30107
Biharsharif ,10,BIHAR,27,296889,154915,141974,189420,110247,79173,916,74.8,83.42,65.39,28092,20487,7605
